Neighbourhood,Crime Category,Incident Count
Lawrence Park South (103),Theft Over,67
Leaside-Bennington (56),Assault,390
Leaside-Bennington (56),Auto Theft,512
Leaside-Bennington (56),Break and Enter,444
Leaside-Bennington (56),NonMCI,496
Leaside-Bennington (56),Robbery,63
Leaside-Bennington (56),Theft Over,66
Little Portugal (84),Assault,1153
Little Portugal (84),Auto Theft,202
Little Portugal (84),Break and Enter,507
Little Portugal (84),NonMCI,398
Little Portugal (84),Robbery,116
Little Portugal (84),Theft Over,84
Long Branch (19),Assault,815
Long Branch (19),Auto Theft,245
Long Branch (19),Break and Enter,334
Long Branch (19),NonMCI,381
Long Branch (19),Robbery,105
Long Branch (19),Theft Over,35
Malvern East (146),Assault,1754
Malvern East (146),Auto Theft,441
Malvern East (146),Break and Enter,283
Malvern East (146),NonMCI,483
Malvern East (146),Robbery,252
Malvern East (146),Theft Over,51
Malvern West (145),Assault,1090
Malvern West (145),Auto Theft,389
Malvern West (145),Break and Enter,225
Malvern West (145),NonMCI,425
Malvern West (145),Robbery,205
Malvern West (145),Theft Over,60
Maple Leaf (29),Assault,412
Maple Leaf (29),Auto Theft,266
Maple Leaf (29),Break and Enter,161
Maple Leaf (29),NonMCI,219
Maple Leaf (29),Robbery,44
Maple Leaf (29),Theft Over,30
Markland Wood (12),Assault,333
Markland Wood (12),Auto Theft,240
Markland Wood (12),Break and Enter,247
Markland Wood (12),NonMCI,352
Markland Wood (12),Robbery,94
Markland Wood (12),Theft Over,39
Milliken (130),Assault,904
Milliken (130),Auto Theft,1157
Milliken (130),Break and Enter,1076
Milliken (130),NonMCI,836
Milliken (130),Robbery,332
Milliken (130),Theft Over,208
Mimico-Queensway (160),Assault,4170
Mimico-Queensway (160),Auto Theft,454
Mimico-Queensway (160),Break and Enter,467
Mimico-Queensway (160),NonMCI,553
Mimico-Queensway (160),Robbery,112
Mimico-Queensway (160),Theft Over,126
Morningside (135),Assault,1472
Morningside (135),Auto Theft,330
Morningside (135),Break and Enter,199
Morningside (135),NonMCI,446
Morningside (135),Robbery,134
Morningside (135),Theft Over,26
Morningside Heights (144),Assault,1141
Morningside Heights (144),Auto Theft,743
Morningside Heights (144),Break and Enter,408
Morningside Heights (144),NonMCI,614
Morningside Heights (144),Robbery,212
Morningside Heights (144),Theft Over,122
Moss Park (73),Assault,6142
Moss Park (73),Auto Theft,414
Moss Park (73),Break and Enter,1735
Moss Park (73),NonMCI,1726
Moss Park (73),Robbery,1173
Moss Park (73),Theft Over,225
Mount Dennis (115),Assault,1134
Mount Dennis (115),Auto Theft,303
Mount Dennis (115),Break and Enter,260
Mount Dennis (115),NonMCI,364
Mount Dennis (115),Robbery,179
Mount Dennis (115),Theft Over,41
Mount Olive-Silverstone-Jamestown (2),Assault,2857
Mount Olive-Silverstone-Jamestown (2),Auto Theft,927
Mount Olive-Silverstone-Jamestown (2),Break and Enter,323
Mount Olive-Silverstone-Jamestown (2),NonMCI,1027
Mount Olive-Silverstone-Jamestown (2),Robbery,619
Mount Olive-Silverstone-Jamestown (2),Theft Over,87
Mount Pleasant East (99),Assault,513
Mount Pleasant East (99),Auto Theft,297
Mount Pleasant East (99),Break and Enter,374
Mount Pleasant East (99),NonMCI,358
Mount Pleasant East (99),Robbery,70
Mount Pleasant East (99),Theft Over,53
